parameter,value
KdAMP,2.5e-3 
KdADP,1.5e-3 
KdATP,1.8e-2 
kPhosCaMKK,8.1e-4
KmCaMKK,1.5e-2
kPhosLKB1,3.92e-3
KmLKB1,1.4
kDephosPP,1.1e-2
KmPP,6.7e-2
kPhosAMPK,1.92e-5
KmAMPK,8.49e-2
kDephosPP1,1.1e-2
KmPP1,6.7e-2
AMPKAR_0,1.0
