parameter,value
KdAMP,2.5e-3 
KdADP,1.5e-3 
KdATP,1.8e-2 
kPhosCaMKK,0.5
KmCaMKK,0.0166
kPhosLKB1,0.5
KmLKB1,2.021
kDephosPP,1.1e-1
KmPP,6.7e-2
kPhosAMPK,6.33
KmAMPK,4.67e-3
kDephosPP1,1.1e-1
KmPP1,6.7e-2
AMPKAR_0,1e-3
